08:27:34.752 ERROR Egg 
08:27:34.755 ERROR Cannot read property 'NaN' of undefined
TypeError: Cannot read property 'NaN' of undefined
    at Object.room.isIn (/app/arrasio/src/server/server.js:300:42)
    at entities.map.instance (/app/arrasio/src/server/server.js:5029:34)
    at Array.map (<anonymous>)
    at makefood (/app/arrasio/src/server/server.js:5024:29)
    at Timeout.maintainloop [as _onTimeout] (/app/arrasio/src/server/server.js:5089:9)
    at ontimeout (timers.js:498:11)
    at tryOnTimeout (timers.js:323:5)
    at Timer.listOnTimeout (timers.js:290:5) 
08:39:57.132 WARN  Malformed command packet. Kicking. 1 warning. 
08:47:45.665 WARN  ~~ LOOPS: 14. ENTITY #: 217//106. VIEW #: 1. BACKLOGGED :: 114.429%! ~~ 
08:47:45.666 WARN  Total activation time: 12 
08:47:45.666 WARN  Total collision time: 4 
08:47:45.666 WARN  Total cycle time: 518 
08:47:45.666 WARN  Total player update time: 28 
08:47:45.666 WARN  Total lb+minimap processing time: 3 
08:47:45.666 WARN  Total entity physics calculation time: 7 
08:47:45.666 WARN  Total entity life+thought cycle time: 25 
08:47:45.666 WARN  Total entity selfie-taking time: 6 
08:47:45.666 WARN  Total time: 603 
09:06:50.338 WARN  ~~ LOOPS: 13. ENTITY #: 852//736. VIEW #: 1. BACKLOGGED :: 189.462%! ~~ 
09:06:50.338 WARN  Total activation time: 60 
09:06:50.338 WARN  Total collision time: 531 
09:06:50.338 WARN  Total cycle time: 230 
09:06:50.338 WARN  Total player update time: 121 
09:06:50.338 WARN  Total lb+minimap processing time: 14 
09:06:50.338 WARN  Total entity physics calculation time: 16 
09:06:50.339 WARN  Total entity life+thought cycle time: 114 
09:06:50.339 WARN  Total entity selfie-taking time: 38 
09:06:50.339 WARN  Total time: 1124 
09:06:51.398 WARN  ~~ LOOPS: 15. ENTITY #: 852//785. VIEW #: 1. BACKLOGGED :: 107.200%! ~~ 
09:06:51.398 WARN  Total activation time: 57 
09:06:51.399 WARN  Total collision time: 285 
09:06:51.399 WARN  Total cycle time: 194 
09:06:51.399 WARN  Total player update time: 72 
09:06:51.399 WARN  Total lb+minimap processing time: 30 
09:06:51.400 WARN  Total entity physics calculation time: 28 
09:06:51.400 WARN  Total entity life+thought cycle time: 55 
09:06:51.400 WARN  Total entity selfie-taking time: 23 
09:06:51.401 WARN  Total time: 744 
09:06:52.444 WARN  ~~ LOOPS: 14. ENTITY #: 710//715. VIEW #: 1. BACKLOGGED :: 119.357%! ~~ 
09:06:52.444 WARN  Total activation time: 298 
09:06:52.444 WARN  Total collision time: 55 
09:06:52.444 WARN  Total cycle time: 204 
09:06:52.444 WARN  Total player update time: 44 
09:06:52.444 WARN  Total lb+minimap processing time: 37 
09:06:52.444 WARN  Total entity physics calculation time: 17 
09:06:52.444 WARN  Total entity life+thought cycle time: 57 
09:06:52.444 WARN  Total entity selfie-taking time: 29 
09:06:52.444 WARN  Total time: 741 
09:44:30.834 WARN  ~~ LOOPS: 10. ENTITY #: 412//361. VIEW #: 1. BACKLOGGED :: 164.700%! ~~ 
09:44:30.834 WARN  Total activation time: 54 
09:44:30.835 WARN  Total collision time: 98 
