21:54:37.101 WARN  ~~ LOOPS: 12. ENTITY #: 324//189. VIEW #: 1. BACKLOGGED :: 129.500%! ~~ 
21:54:37.102 WARN  Total activation time: 86 
21:54:37.102 WARN  Total collision time: 106 
21:54:37.102 WARN  Total cycle time: 326 
21:54:37.102 WARN  Total player update time: 100 
21:54:37.102 WARN  Total lb+minimap processing time: 76 
21:54:37.102 WARN  Total entity physics calculation time: 40 
21:54:37.102 WARN  Total entity life+thought cycle time: 37 
21:54:37.102 WARN  Total entity selfie-taking time: 51 
21:54:37.102 WARN  Total time: 822 
22:01:55.715 WARN  ~~ LOOPS: 13. ENTITY #: 373//242. VIEW #: 1. BACKLOGGED :: 116.538%! ~~ 
22:01:55.715 WARN  Total activation time: 72 
22:01:55.715 WARN  Total collision time: 37 
22:01:55.715 WARN  Total cycle time: 396 
22:01:55.715 WARN  Total player update time: 74 
22:01:55.715 WARN  Total lb+minimap processing time: 51 
22:01:55.715 WARN  Total entity physics calculation time: 46 
22:01:55.715 WARN  Total entity life+thought cycle time: 95 
22:01:55.715 WARN  Total entity selfie-taking time: 60 
22:01:55.715 WARN  Total time: 831 
