21:08:55.439 WARN  Ill-sized key request. Kicking. 1 warning. 
21:10:05.033 WARN  ~~ LOOPS: 10. ENTITY #: 328//142. VIEW #: 1. BACKLOGGED :: 181.800%! ~~ 
21:10:05.033 WARN  Total activation time: 159 
21:10:05.033 WARN  Total collision time: 32 
21:10:05.038 WARN  Total cycle time: 415 
21:10:05.038 WARN  Total player update time: 120 
21:10:05.039 WARN  Total lb+minimap processing time: 62 
21:10:05.039 WARN  Total entity physics calculation time: 22 
21:10:05.039 WARN  Total entity life+thought cycle time: 169 
21:10:05.040 WARN  Total entity selfie-taking time: 118 
21:10:05.040 WARN  Total time: 1097 
