12:26:04.123 WARN  ~~ LOOPS: 10. ENTITY #: 316//90. VIEW #: 1. BACKLOGGED :: 132.300%! ~~ 
12:26:04.125 WARN  Total activation time: 71 
12:26:04.125 WARN  Total collision time: 7 
12:26:04.125 WARN  Total cycle time: 363 
12:26:04.126 WARN  Total player update time: 104 
12:26:04.126 WARN  Total lb+minimap processing time: 56 
12:26:04.126 WARN  Total entity physics calculation time: 10 
12:26:04.126 WARN  Total entity life+thought cycle time: 158 
12:26:04.126 WARN  Total entity selfie-taking time: 40 
12:26:04.126 WARN  Total time: 809 
12:32:19.094 WARN  ~~ LOOPS: 13. ENTITY #: 280//109. VIEW #: 1. BACKLOGGED :: 118.385%! ~~ 
12:32:19.094 WARN  Total activation time: 64 
12:32:19.094 WARN  Total collision time: 156 
12:32:19.094 WARN  Total cycle time: 293 
12:32:19.094 WARN  Total player update time: 89 
12:32:19.094 WARN  Total lb+minimap processing time: 27 
12:32:19.094 WARN  Total entity physics calculation time: 18 
12:32:19.094 WARN  Total entity life+thought cycle time: 63 
12:32:19.094 WARN  Total entity selfie-taking time: 73 
12:32:19.094 WARN  Total time: 783 
12:34:19.478 WARN  ~~ LOOPS: 10. ENTITY #: 271//123. VIEW #: 1. BACKLOGGED :: 122.400%! ~~ 
12:34:19.478 WARN  Total activation time: 73 
12:34:19.488 WARN  Total collision time: 21 
12:34:19.488 WARN  Total cycle time: 314 
12:34:19.488 WARN  Total player update time: 142 
12:34:19.488 WARN  Total lb+minimap processing time: 103 
12:34:19.488 WARN  Total entity physics calculation time: 76 
12:34:19.488 WARN  Total entity life+thought cycle time: 34 
12:34:19.496 WARN  Total entity selfie-taking time: 67 
12:34:19.496 WARN  Total time: 830 
12:35:05.385 WARN  ~~ LOOPS: 13. ENTITY #: 233//114. VIEW #: 1. BACKLOGGED :: 115.846%! ~~ 
12:35:05.397 WARN  Total activation time: 75 
12:35:05.397 WARN  Total collision time: 21 
12:35:05.397 WARN  Total cycle time: 406 
12:35:05.397 WARN  Total player update time: 109 
12:35:05.397 WARN  Total lb+minimap processing time: 87 
12:35:05.397 WARN  Total entity physics calculation time: 17 
12:35:05.397 WARN  Total entity life+thought cycle time: 106 
12:35:05.397 WARN  Total entity selfie-taking time: 45 
12:35:05.397 WARN  Total time: 866 
12:37:49.566 WARN  ~~ LOOPS: 15. ENTITY #: 271//115. VIEW #: 1. BACKLOGGED :: 107.800%! ~~ 
12:37:49.566 WARN  Total activation time: 71 
12:37:49.566 WARN  Total collision time: 79 
12:37:49.567 WARN  Total cycle time: 388 
12:37:49.567 WARN  Total player update time: 95 
12:37:49.571 WARN  Total lb+minimap processing time: 92 
12:37:49.571 WARN  Total entity physics calculation time: 79 
12:37:49.571 WARN  Total entity life+thought cycle time: 147 
12:37:49.571 WARN  Total entity selfie-taking time: 17 
12:37:49.573 WARN  Total time: 968 
12:38:19.131 WARN  ~~ LOOPS: 14. ENTITY #: 250//91. VIEW #: 1. BACKLOGGED :: 104.143%! ~~ 
12:38:19.131 WARN  Total activation time: 95 
12:38:19.131 WARN  Total collision time: 103 
12:38:19.131 WARN  Total cycle time: 288 
12:38:19.131 WARN  Total player update time: 97 
12:38:19.131 WARN  Total lb+minimap processing time: 134 
12:38:19.131 WARN  Total entity physics calculation time: 36 
12:38:19.131 WARN  Total entity life+thought cycle time: 65 
12:38:19.131 WARN  Total entity selfie-taking time: 59 
12:38:19.131 WARN  Total time: 877 
12:38:20.221 WARN  ~~ LOOPS: 11. ENTITY #: 251//92. VIEW #: 1. BACKLOGGED :: 127.364%! ~~ 
12:38:20.221 WARN  Total activation time: 101 
12:38:20.221 WARN  Total collision time: 14 
12:38:20.221 WARN  Total cycle time: 352 
12:38:20.221 WARN  Total player update time: 46 
12:38:20.221 WARN  Total lb+minimap processing time: 25 
12:38:20.221 WARN  Total entity physics calculation time: 98 
