01:36:59.599 WARN  Malformed command packet. Kicking. 1 warning. 
01:43:45.305 WARN  ~~ LOOPS: 11. ENTITY #: 323//118. VIEW #: 2. BACKLOGGED :: 154.364%! ~~ 
01:43:45.305 WARN  Total activation time: 143 
01:43:45.306 WARN  Total collision time: 5 
01:43:45.306 WARN  Total cycle time: 411 
01:43:45.306 WARN  Total player update time: 90 
01:43:45.306 WARN  Total lb+minimap processing time: 13 
01:43:45.306 WARN  Total entity physics calculation time: 72 
01:43:45.306 WARN  Total entity life+thought cycle time: 139 
01:43:45.306 WARN  Total entity selfie-taking time: 59 
01:43:45.306 WARN  Total time: 932 
01:44:00.560 WARN  ~~ LOOPS: 14. ENTITY #: 344//126. VIEW #: 2. BACKLOGGED :: 100.929%! ~~ 
01:44:00.560 WARN  Total activation time: 30 
01:44:00.560 WARN  Total collision time: 14 
01:44:00.560 WARN  Total cycle time: 427 
01:44:00.560 WARN  Total player update time: 51 
01:44:00.560 WARN  Total lb+minimap processing time: 135 
01:44:00.560 WARN  Total entity physics calculation time: 35 
01:44:00.560 WARN  Total entity life+thought cycle time: 201 
01:44:00.560 WARN  Total entity selfie-taking time: 74 
01:44:00.561 WARN  Total time: 967 
01:44:01.598 WARN  ~~ LOOPS: 13. ENTITY #: 350//128. VIEW #: 2. BACKLOGGED :: 117.462%! ~~ 
01:44:01.598 WARN  Total activation time: 97 
01:44:01.598 WARN  Total collision time: 5 
01:44:01.598 WARN  Total cycle time: 407 
01:44:01.599 WARN  Total player update time: 17 
01:44:01.599 WARN  Total lb+minimap processing time: 2 
01:44:01.599 WARN  Total entity physics calculation time: 23 
01:44:01.599 WARN  Total entity life+thought cycle time: 151 
01:44:01.599 WARN  Total entity selfie-taking time: 132 
01:44:01.599 WARN  Total time: 834 
01:44:15.726 WARN  ~~ LOOPS: 13. ENTITY #: 333//105. VIEW #: 2. BACKLOGGED :: 126.231%! ~~ 
01:44:15.726 WARN  Total activation time: 30 
01:44:15.726 WARN  Total collision time: 43 
01:44:15.726 WARN  Total cycle time: 474 
01:44:15.727 WARN  Total player update time: 52 
01:44:15.727 WARN  Total lb+minimap processing time: 2 
01:44:15.727 WARN  Total entity physics calculation time: 60 
01:44:15.727 WARN  Total entity life+thought cycle time: 311 
01:44:15.727 WARN  Total entity selfie-taking time: 5 
01:44:15.727 WARN  Total time: 977 
01:45:00.162 WARN  ~~ LOOPS: 14. ENTITY #: 375//143. VIEW #: 2. BACKLOGGED :: 120.857%! ~~ 
01:45:00.162 WARN  Total activation time: 221 
01:45:00.162 WARN  Total collision time: 21 
01:45:00.162 WARN  Total cycle time: 322 
01:45:00.162 WARN  Total player update time: 76 
01:45:00.162 WARN  Total lb+minimap processing time: 54 
01:45:00.162 WARN  Total entity physics calculation time: 27 
01:45:00.162 WARN  Total entity life+thought cycle time: 136 
01:45:00.162 WARN  Total entity selfie-taking time: 27 
01:45:00.162 WARN  Total time: 884 
01:45:01.170 WARN  ~~ LOOPS: 9. ENTITY #: 385//157. VIEW #: 2. BACKLOGGED :: 165.667%! ~~ 
01:45:01.170 WARN  Total activation time: 90 
01:45:01.170 WARN  Total collision time: 10 
01:45:01.170 WARN  Total cycle time: 397 
01:45:01.170 WARN  Total player update time: 45 
01:45:01.170 WARN  Total lb+minimap processing time: 2 
01:45:01.170 WARN  Total entity physics calculation time: 30 
01:45:01.170 WARN  Total entity life+thought cycle time: 175 
01:45:01.170 WARN  Total entity selfie-taking time: 7 
01:45:01.171 WARN  Total time: 756 
01:45:15.527 WARN  ~~ LOOPS: 12. ENTITY #: 364//70. VIEW #: 2. BACKLOGGED :: 101.250%! ~~ 
01:45:15.527 WARN  Total activation time: 61 
01:45:15.527 WARN  Total collision time: 13 
01:45:15.527 WARN  Total cycle time: 331 
01:45:15.527 WARN  Total player update time: 121 
01:45:15.527 WARN  Total lb+minimap processing time: 60 
01:45:15.527 WARN  Total entity physics calculation time: 13 
01:45:15.527 WARN  Total entity life+thought cycle time: 106 
01:45:15.527 WARN  Total entity selfie-taking time: 22 
01:45:15.527 WARN  Total time: 727 
01:52:00.844 WARN  ~~ LOOPS: 13. ENTITY #: 324//99. VIEW #: 2. BACKLOGGED :: 110.538%! ~~ 
01:52:00.844 WARN  Total activation time: 111 
01:52:00.844 WARN  Total collision time: 40 
01:52:00.844 WARN  Total cycle time: 328 
01:52:00.844 WARN  Total player update time: 89 
01:52:00.844 WARN  Total lb+minimap processing time: 26 
01:52:00.844 WARN  Total entity physics calculation time: 28 
01:52:00.844 WARN  Total entity life+thought cycle time: 111 
01:52:00.844 WARN  Total entity selfie-taking time: 55 
01:52:00.845 WARN  Total time: 788 
01:52:16.045 WARN  ~~ LOOPS: 9. ENTITY #: 379//167. VIEW #: 2. BACKLOGGED :: 198.333%! ~~ 
01:52:16.045 WARN  Total activation time: 47 
01:52:16.045 WARN  Total collision time: 52 
01:52:16.045 WARN  Total cycle time: 496 
01:52:16.045 WARN  Total player update time: 210 
01:52:16.045 WARN  Total lb+minimap processing time: 16 
01:52:16.045 WARN  Total entity physics calculation time: 12 
01:52:16.045 WARN  Total entity life+thought cycle time: 227 
01:52:16.045 WARN  Total entity selfie-taking time: 82 
01:52:16.045 WARN  Total time: 1142 
01:52:31.796 WARN  ~~ LOOPS: 6. ENTITY #: 406//190. VIEW #: 2. BACKLOGGED :: 380.000%! ~~ 
01:52:31.796 WARN  Total activation time: 155 
01:52:31.796 WARN  Total collision time: 59 
01:52:31.796 WARN  Total cycle time: 546 
01:52:31.796 WARN  Total player update time: 273 
01:52:31.796 WARN  Total lb+minimap processing time: 128 
01:52:31.796 WARN  Total entity physics calculation time: 76 
01:52:31.796 WARN  Total entity life+thought cycle time: 196 
01:52:31.796 WARN  Total entity selfie-taking time: 39 
01:52:31.796 WARN  Total time: 1472 
01:52:45.965 WARN  ~~ LOOPS: 12. ENTITY #: 386//165. VIEW #: 3. BACKLOGGED :: 138.500%! ~~ 
01:52:45.965 WARN  Total activation time: 30 
01:52:45.965 WARN  Total collision time: 105 
01:52:45.965 WARN  Total cycle time: 419 
01:52:45.965 WARN  Total player update time: 206 
01:52:45.965 WARN  Total lb+minimap processing time: 9 
01:52:45.965 WARN  Total entity physics calculation time: 49 
01:52:45.965 WARN  Total entity life+thought cycle time: 165 
01:52:45.965 WARN  Total entity selfie-taking time: 15 
01:52:45.965 WARN  Total time: 998 
